trade_date,sentiment,total_trades,total_volume_usd,avg_trade_size,total_pnl,avg_pnl,pnl_std
2024-09-08,Fear,1,0.11,0.11,0.0,0.0,
2024-09-09,Fear,2,4014.4300000000003,2007.2150000000001,0.0,0.0,0.0
2024-09-10,Fear,3,2547.28,849.0933333333334,-219.729659,-73.24321966666666,96.08066367806516
2024-09-11,Fear,1,0.54,0.54,0.0,0.0,
2024-09-14,Greed,11,1014.8000000000001,92.25454545454546,0.0,0.0,0.0
2024-09-18,Greed,145,13633.5,94.02413793103449,-878.684794,-6.059895131034483,4.966129290375059
2024-09-19,Greed,19,1521.8700000000001,80.09842105263158,0.0,0.0,0.0
2024-09-20,Greed,16,332873.38,20804.58625,9585.03428,599.0646425,2004.9515901146353
2024-09-21,Greed,23,165648.12,7202.092173913044,36165.56933,1572.416057826087,1429.8114770090967
2024-09-22,Greed,3,19999.739999999998,6666.579999999999,0.0,0.0,0.0
2024-09-23,Greed,2,40334.29,20167.145,334.760796,167.380398,236.7116289270065
2024-09-24,Greed,10,7118.63,711.863,0.0,0.0,0.0
2024-09-25,Greed,9,52754.130000000005,5861.570000000001,0.0,0.0,0.0
2024-09-26,Greed,8,113711.93000000001,14213.991250000001,439.812513,54.976564125,154.20271831132595
2024-09-27,Greed,56,126097.04,2251.732857142857,0.0,0.0,0.0
2024-09-28,Greed,4,29199.21,7299.8025,0.0,0.0,0.0
2024-09-30,Greed,106,214669.85,2025.1872641509435,2710.626288,25.571946113207545,133.6657057863591
2024-10-01,Greed,4,139954.32,34988.58,0.0,0.0,0.0
2024-10-02,Fear,4,99954.34,24988.585,0.0,0.0,0.0
2024-10-03,Fear,9,132935.69,14770.632222222222,100.375782,11.152864666666666,20.273575382952355
2024-10-04,Fear,1,0.34,0.34,0.0,0.0,
2024-10-05,Greed,37,605605.74,16367.722702702702,5767.161892,155.86924032432432,217.0879728346648
2024-10-06,Greed,22,300130.56,13642.298181818182,130.487079,5.9312308636363635,17.741123762831634
2024-10-07,Greed,21,219984.65,10475.459523809524,0.0,0.0,0.0
2024-10-08,Greed,36,434584.13,12071.781388888889,5396.546638,149.90407327777777,223.40754741053024
2024-10-09,Greed,14,220399.93,15742.852142857142,396.06272,28.290194285714286,61.54299038481661
2024-10-10,Fear,16,300024.33999999997,18751.521249999998,0.0,0.0,0.0
2024-10-11,Fear,26,488904.19,18804.007307692307,8885.327477,341.74336450000004,367.9830904604618
2024-10-12,Greed,10,159713.4,15971.34,541.55471,54.155471,63.374247509280295
2024-10-13,Greed,10,60002.42,6000.242,0.0,0.0,0.0
2024-10-14,Greed,5,61916.020000000004,12383.204000000002,1913.61958,382.72391600000003,497.27205914834235
2024-10-15,Greed,7,81173.36,11596.194285714286,1170.2260760000001,167.17515371428573,347.7876385038441
